ra	dec	plx	pmra	pmdec	G	BP	RP
322.739063	57.523966	0.9319	-10.053	-3.893	10.883	12.635	9.640
324.153753	57.568306	1.0140	-3.850	-3.294	10.884	11.157	10.436
323.502963	57.596944	2.4029	-2.605	1.913	10.885	11.213	10.385
323.439247	56.417236	2.2325	1.669	3.781	10.889	11.122	10.501
324.558665	56.629370	1.8038	5.130	-1.773	10.894	11.195	10.423
323.711016	57.037914	2.0271	0.675	-6.365	10.907	11.220	10.418
325.200535	56.325381	0.0859	-2.792	-2.658	10.909	12.441	9.722
323.508370	58.335870	0.9197	-5.465	-3.659	10.913	11.245	10.399
326.112353	56.596400	3.1962	-11.965	-16.117	10.914	11.211	10.448
323.339917	58.635601	4.7243	10.629	15.579	10.919	11.205	10.466
326.198988	56.799019	0.8776	-2.231	-3.878	10.922	11.161	10.516
324.890355	57.994048	1.3636	-3.865	-8.277	10.925	11.891	9.960
325.237783	56.594137	0.8607	-1.450	-2.485	10.933	11.225	10.454
323.928182	57.066531	0.0000	0.000	0.000	10.944	11.053	10.311
322.633459	57.285095	1.0542	1.083	-1.127	10.944	11.130	10.608
324.213731	57.695864	3.3137	-33.045	-24.837	10.945	11.317	10.399
324.106423	57.600185	1.2391	4.560	-1.797	10.948	11.442	10.254
324.478298	57.351665	1.2671	-2.570	-1.147	10.969	11.648	10.172
322.464025	57.119342	1.1254	2.366	-2.654	10.976	11.834	10.067
324.713353	57.459613	0.3081	-2.765	-3.030	10.979	13.790	9.555
326.600785	57.617636	2.0228	-15.921	-9.458	10.979	11.289	10.498
324.322356	58.554661	1.9794	2.234	1.588	10.980	11.196	10.617
324.757938	56.836350	7.6653	37.642	39.600	10.986	11.390	10.419
322.686629	56.777775	0.6252	-2.363	0.848	10.988	12.037	9.982
325.400876	57.373795	1.0642	-1.815	-4.437	10.992	11.110	10.758
324.023743	57.334805	0.4445	-4.295	-7.884	10.994	12.952	9.703
324.042527	57.214844	3.2597	26.496	10.264	10.994	11.259	10.568
326.114338	57.081485	0.8246	-4.060	-2.782	11.004	11.281	10.541
323.878265	56.917676	1.0552	-2.709	-4.466	11.007	11.309	10.526
326.790248	56.786099	3.0088	-15.244	-18.337	11.011	11.356	10.490
325.238403	58.017990	2.8922	3.047	-2.219	11.016	11.290	10.581
324.834130	58.030040	1.8549	-10.062	-7.480	11.016	11.393	10.458
323.417344	57.057902	0.7225	-2.249	-4.151	11.025	11.412	10.450
325.454237	58.618689	0.3880	-3.048	-4.144	11.026	13.944	9.611
323.157136	57.771150	0.1451	-2.632	-2.562	11.028	12.948	9.753
326.079448	58.561569	4.7246	-16.484	15.386	11.029	11.358	10.529
326.442602	58.122021	0.6841	-2.228	-1.812	11.030	11.854	10.139
326.835903	57.212666	1.1764	4.755	-1.022	11.035	11.831	10.161
325.852347	58.571648	3.8871	2.422	13.500	11.035	11.326	10.572
324.478460	57.371089	1.0363	-7.295	-3.817	11.037	11.784	10.196
323.583998	57.083870	0.3621	-4.694	-3.285	11.040	13.142	9.720
325.403506	58.409519	5.8996	-12.049	-82.887	11.041	11.379	10.535
324.305725	57.172857	0.6618	-1.078	2.679	11.043	12.017	10.069
322.509835	57.803901	1.1045	-4.471	-2.902	11.044	11.265	10.663
323.725406	58.604350	0.1926	-2.514	-3.521	11.044	12.972	9.772
325.459291	56.809485	1.3000	0.329	1.488	11.046	11.324	10.598
325.296369	58.767228	3.3764	4.696	-14.391	11.049	11.359	10.574
325.268157	57.854784	0.4617	0.469	-2.190	11.050	12.801	9.803
325.384436	56.478335	4.0040	7.797	22.914	11.055	11.343	10.600
326.032893	56.753710	0.7330	-2.058	-3.132	11.056	12.140	10.034
325.259602	56.234966	2.0458	-23.306	-3.665	11.056	11.435	10.504
325.850036	58.571221	3.8967	3.438	12.889	11.064	11.354	10.602
324.354070	56.739091	1.0304	9.899	8.832	11.064	11.891	10.169
323.922083	57.811864	0.3590	-5.055	-4.888	11.067	15.422	9.596
323.376503	58.406309	1.1415	2.521	-3.541	11.072	11.879	10.193
325.041493	56.319946	1.0396	-1.057	-1.942	11.076	11.751	10.279
323.304922	56.738758	1.1164	1.401	4.421	11.078	11.869	10.208
324.708901	58.484550	1.3734	-4.446	-4.775	11.082	11.393	10.559
325.183794	57.656089	2.2605	-1.693	-8.086	11.086	11.304	10.726
322.570049	58.217508	1.0660	-3.019	-0.152	11.087	12.034	10.129
322.802543	57.845122	0.9663	-8.127	-18.738	11.095	12.086	10.111
323.636299	58.652536	1.8811	3.477	1.097	11.095	11.348	10.680
324.392274	57.032739	0.6622	-6.715	-3.651	11.096	12.105	10.110
325.051197	57.696316	0.5884	-1.668	-1.768	11.099	11.296	10.735
324.224368	58.736767	1.0117	-1.471	-3.286	11.099	11.304	10.738
326.300073	56.709962	-1.0769	-8.189	-2.214	11.100	11.143	10.598
324.792445	57.672188	0.5604	0.973	1.551	11.105	12.089	10.130
323.968142	57.867909	6.1549	-10.310	40.776	11.106	11.492	10.556
322.248788	57.667900	2.9143	0.056	-11.350	11.106	11.418	10.621
322.957297	57.363061	0.9890	-10.021	-14.117	11.106	12.449	9.985
323.662362	57.128446	2.2616	21.872	5.549	11.111	11.386	10.673
324.098676	56.581569	1.1677	3.566	-8.911	11.111	11.976	10.199
323.290118	57.949098	1.6232	-0.785	-8.984	11.120	11.986	10.206
323.987870	58.595316	1.0576	-2.290	-4.025	11.135	11.350	10.765
324.524649	58.595112	1.1727	2.189	-6.216	11.140	11.928	10.275
325.113461	57.654023	0.5678	-1.825	-2.140	11.148	12.131	10.175
324.862791	57.477766	1.0538	-2.475	-4.670	11.151	11.573	10.540
326.453244	58.575910	0.9022	-3.684	-3.794	11.159	11.352	10.815
326.352002	58.275952	1.4226	-19.855	-14.989	11.159	12.025	10.246
322.592630	56.874902	0.8521	1.965	1.335	11.160	12.597	10.010
326.388339	57.994403	2.3499	-7.194	4.559	11.162	11.467	10.687
325.694867	57.029832	4.0678	8.848	5.399	11.163	11.462	10.701
324.772989	56.261489	3.0368	-4.509	-0.459	11.164	11.756	10.432
323.617914	57.426114	1.0489	-3.312	-4.782	11.177	11.402	10.790
